0	100.6767	
1	100.7233	
2	100.6667	
3	100.7333	
4	100.7400	
5	100.7433	
6	100.8100	
7	101.3600	
8	101.1533	
9	101.2100	
10	100.7367	
11	100.9167	
12	100.9367	
13	101.2667	
14	101.1833	
15	101.3600	
16	101.1500	
17	100.9233	
18	100.6400	
19	100.9133	
20	100.8600	
21	100.8767	
22	100.6800	
23	101.1333	
24	100.7900	
25	101.1733	
26	100.9767	
27	101.1467	
28	101.1533	
29	101.0667	
30	100.9800	
31	101.0100	
32	101.0767	
33	101.2233	
34	101.1067	
35	101.4100	
36	101.3400	
37	101.3233	
38	101.1700	
39	101.1167	
40	101.0267	
41	101.1633	
42	100.9233	
43	101.2200	
44	101.2900	
45	101.5233	
46	101.2900	
47	101.7833	
48	101.5467	
49	101.5200	
50	101.3067	
51	101.6267	
52	101.7767	
53	101.7667	
54	101.4633	
55	101.6633	
56	101.5467	
57	101.6567	
58	101.3533	
59	101.4167	
60	101.2033	
61	101.3667	
62	101.2067	
63	101.5100	
64	101.4367	
65	101.7067	
66	101.2733	
67	101.4733	
68	101.1067	
69	101.4033	
70	101.3800	
71	101.7333	
72	101.3533	
73	101.3167	
74	101.3100	
75	101.5767	
76	101.5100	
77	101.5333	
78	101.6567	
79	101.9933	
80	101.6000	
81	101.6633	
82	101.8433	
83	102.1300	
84	102.2033	
85	101.9900	
86	101.6267	
87	101.8333	
88	101.6767	
89	101.7667	
90	101.8667	
91	101.9833	
92	101.9200	
93	101.9700	
94	101.9900	
95	102.1367	
96	101.9000	
97	101.9567	
98	101.7200	
99	101.6833	
100	101.5233	
101	101.6633	
102	101.3467	
103	101.7567	
104	101.7700	
105	102.0033	
106	101.9500	
107	102.0700	
108	102.0667	
109	101.9833	
110	101.8733	
111	101.9767	
112	101.7933	
113	101.8800	
114	101.7367	
115	101.9700	
116	102.0100	
117	102.2633	
118	102.1600	
119	102.6200	
120	102.3167	
121	102.6033	
122	102.3200	
123	102.4033	
124	102.4167	
125	102.1333	
126	102.0033	
127	102.0433	
128	101.8167	
129	101.9600	
130	101.7600	
131	102.1333	
132	101.7200	
133	102.1533	
134	101.9467	
135	102.2567	
136	102.0133	
137	102.1600	
138	101.9467	
139	102.3133	
140	102.4467	
141	102.6933	
142	102.6467	
143	102.6600	
144	102.3733	
145	102.6767	
146	102.5400	
147	102.6733	
148	102.6933	
149	102.8867	
150	102.7267	
151	102.7767	
152	102.3700	
153	102.4300	
154	102.4533	
155	102.7467	
156	102.7100	
157	102.7133	
